CustomerID,Lookalikes
C0001,"[('C0190', 0.8801054066459403), ('C0048', 0.8773184446571376), ('C0091', 0.876151270363065)]"
C0002,"[('C0159', 0.943434762667601), ('C0134', 0.941405208225654), ('C0106', 0.9254529712799159)]"
C0003,"[('C0031', 0.9878046627668183), ('C0158', 0.974234234659162), ('C0129', 0.9110987298405233)]"
C0004,"[('C0113', 0.9316545775081314), ('C0012', 0.8952206196631893), ('C0104', 0.8661310235745443)]"
C0005,"[('C0007', 0.9951909717270236), ('C0140', 0.9461464132038913), ('C0146', 0.9400988555270222)]"
C0006,"[('C0187', 0.9070575713931789), ('C0137', 0.8096558489407091), ('C0011', 0.785238943682618)]"
C0007,"[('C0005', 0.9951909717270236), ('C0146', 0.9412352521957882), ('C0140', 0.9386702838180017)]"
C0008,"[('C0059', 0.8681092322640509), ('C0098', 0.8316668697604935), ('C0194', 0.8063722865180775)]"
C0009,"[('C0198', 0.9502109073084823), ('C0062', 0.909206852932182), ('C0061', 0.8923168241314723)]"
C0010,"[('C0061', 0.9488244175475161), ('C0111', 0.8803456095275819), ('C0062', 0.8686572382594787)]"
C0011,"[('C0126', 0.9562314627825094), ('C0153', 0.8924434589157798), ('C0191', 0.8859142326786709)]"
C0012,"[('C0104', 0.9448616151624587), ('C0004', 0.8952206196631893), ('C0113', 0.888529974625651)]"
C0013,"[('C0102', 0.8897908820156004), ('C0188', 0.8806116851648751), ('C0184', 0.8488697941283038)]"
C0014,"[('C0060', 0.9995486761122797), ('C0089', 0.9085391578763068), ('C0198', 0.8973328502207266)]"
C0015,"[('C0036', 0.9459173559707248), ('C0131', 0.9405442145795152), ('C0144', 0.9208340248893928)]"
C0016,"[('C0183', 0.9999874065450471), ('C0067', 0.9220564479866475), ('C0072', 0.9097098206821733)]"
C0017,"[('C0075', 0.96055848054539), ('C0041', 0.9172626890391717), ('C0057', 0.868672463365463)]"
C0018,"[('C0125', 0.866122314270768), ('C0122', 0.8244333961600278), ('C0035', 0.81683215671502)]"
C0019,"[('C0070', 0.8944400021500439), ('C0064', 0.8555709364254677), ('C0023', 0.8324030035541858)]"
C0020,"[('C0058', 0.9389667959783792), ('C0033', 0.9371599150856704), ('C0015', 0.8960617339556914)]"
